employee_id,name,password,salary,type
5451098,Benjamin,xujlsihwsn,2239517,staff
8785292,Katelynn,lgdonyfrhl,4404471,admin
3438400,Mercedes,yojnlnpphq,4999119,admin
6448341,Mozelle,aqhvetxbvm,1579024,staff
3066104,Del,gbwagznwsm,5717467,admin
3576334,Violette,ymqdzitkga,1772138,staff
7243069,Lawrence,ekqrgrczct,2886876,staff
3729542,Aileen,kcjxbfbjya,9479044,admin
5542071,Curtis,keuttzpuww,1617500,staff
8406986,Leanna,pykoiqfbxj,5667174,staff
5904246,Mohamed,umftcknktg,7222662,admin
4203227,Cody,fmjhytxepq,3720247,admin
3074446,Ariel,ezdxekqxye,2071094,staff
3670637,Lia,ehasbqtljj,2933896,staff
2589801,Bette,ldhqezkwqv,4118984,admin
5412028,Dan,ttyyyuhmwx,7766746,staff
2910734,Alfonzo,bfgcnuryfq,6208694,staff
6946754,Donnie,vhvhqktoha,9440721,staff
2786173,Freida,iacopedwzg,8269606,staff
5272961,Merrill,jlsemmvglr,9355454,staff
